lawer,lawer_tp
Оренбургский военный суд республики Тыва,Оренбургским военным судом республики Тыва
Левашинский районный суд г. Братска,Левашинским районным судом г. Братска
Ивдельский межрайонный суд РБ,Ивдельским межрайонным судом РБ
Медвенский кассационный суд Белгородской области,Медвенским кассационным судом Белгородской области
Дятьковский военный суд Ивановской области,Дятьковским военным судом Ивановской области
Конаковский р-ый суд г. Ульяновска,Конаковским р-ым судом г. Ульяновска
Заводоуковский городской суд Оренбургской области,Заводоуковским городским судом Оренбургской области
Лермонтовский апелляционный суд Свердловская область,Лермонтовским апелляционным судом Свердловская область
Буденновский м-ый суд г. Екатеринбурга,Будённовским м-ым судом г. Екатеринбурга
Красноуральский кассационный суд западно-сибирского округа,Красноуральским кассационным судом западно-сибирского округа
Зеленчукский город. суд города Тольятти,Зеленчукским городским судом города Тольятти
Волоколамский город суд города Санкт-петербурга,Волоколамским городским судом города Санкт-петербурга
Солнцевский межрайонный суд чукотского автономного округа,Солнцевским межрайонным судом чукотского автономного округа
Волховский м-ый суд респ. Хакасия,Волховским м-ым судом респ. Хакасия
Тоджинский кассационный суд города Каменск-уральского Свердловской области,Тоджинским кассационным судом города Каменск-уральского Свердловской области
Копейский кассационный суд Костромской области,Копейским кассационным судом Костромской области
Княгининский районный суд Оренбургской области,Княгининским районным судом Оренбургской области
Уренский кассационный суд республики Мордовия,Уренским кассационным судом республики Мордовия
Шилкинский город суд г. Севастополя,Шилкинским городским судом г. Севастополя
Чемальский городской суд Тюменской области,Чемальским городским судом Тюменской области
Никулинский город. суд г. Саратова,Никулинским городским судом г. Саратова
Преображенский кассационный суд респ. Татарстан,Преображенским кассационным судом респ. Татарстан
Чесменский областной суд г. нижний тагил,Чесменским областным судом г. нижний тагил
Кривошеинский м-ый суд республики Тыва,Кривошеинским м-ым судом республики Тыва
Лысьвенский районный суд республики Башкортостан,Лысьвенским районным судом республики Башкортостан
Крымский р-ый суд г. Красноярска,Крымским р-ым судом г. Красноярска
Шадринский межрайонный суд Омской области,Шадринским межрайонным судом Омской области
Урванский р-ый суд респ. Хакасия,Урванским р-ым судом респ. Хакасия
Аксубаевский кассационный суд Оренбургской области,Аксубаевским кассационным судом Оренбургской области
Краснотуранский военный суд Кемеровской области,Краснотуранским военным судом Кемеровской области
Белореченский апелляционный суд республики Адыгеи,Белореченским апелляционным судом республики Адыгеи
Веденский городской суд г. Ульяновска,Веденским городским судом г. Ульяновска
Игринский межрайонный суд Орловской области,Игринским межрайонным судом Орловской области
Большеболдинский город суд г. Новороссийска,Большеболдинским городским судом г. Новороссийска
Домбаровский городской суд чукотского автономного округа,Домбаровским городским судом чукотского автономного округа
Клетский военный суд Тверской области,Клетским военным судом Тверской области
Биробиджанский кассационный суд г. Волгоград,Биробиджанским кассационным судом г. Волгоград
Тюлячинский межрайонный суд Новосибирской области,Тюлячинским межрайонным судом Новосибирской области
Мокроусовский военный суд г. Екатеринбурга,Мокроусовским военным судом г. Екатеринбурга
Саратовский областной суд КК,Саратовским областным судом КК
Пудожский кассационный суд города н.новгород,Пудожским кассационным судом города н.новгород
Караидельский город. суд республики Крым,Караидельским городским судом республики Крым
Ковернинский м-ый суд республики Тыва,Ковернинским м-ым судом республики Тыва
Гусевский апелляционный суд МО,Гусевским апелляционным судом МО
Интинский м-ый суд Тюменской области,Интинским м-ым судом Тюменской области
Тимский районный суд Севастополя,Тимским районным судом Севастополя
Усть-донецкий апелляционный суд города Саратова,Усть-донецким апелляционным судом города Саратова
Белоярский районный суд г. нижний тагил,Белоярским районным судом г. нижний тагил
Ангарский межрайонный суд г. Ижевска,Ангарским межрайонным судом г. Ижевска
Долгопрудненский город суд города Севастополь,Долгопрудненским городским судом города Севастополь
Армизонский областной суд УР,Армизонским областным судом УР
Изобильненский районный суд города Санкт-петербурга И ЛО,Изобильненским районным судом города Санкт-петербурга И ЛО
Завьяловский р-ый суд Саратовской области,Завьяловским р-ым судом Саратовской области
Илимпийский военный суд г. Смоленска,Илимпийским военным судом г. Смоленска
Анучинский город. суд города Азов,Анучинским городским судом города Азов
Княгининский город суд республики Саха,Княгининским городским судом республики Саха
Тамбовский областной суд г. Архангельска,Тамбовским областным судом г. Архангельска
Красноуральский кассационный суд г. Саранска,Красноуральским кассационным судом г. Саранска
Кадуйский военный суд г. Астрахани,Кадуйским военным судом г. Астрахани
Зарайский город суд республики Дагестана,Зарайским городским судом республики Дагестана
Агаповский городской суд города нижний тагил Свердловской области,Агаповским городским судом города нижний тагил Свердловской области
Красноярский р-ый суд республики Хакасия,Красноярским р-ым судом республики Хакасия
Магарамкентский городской суд Оренбургской области,Магарамкентским городским судом Оренбургской области
Алданский военный суд г. Комсомольска-на-амуре,Алданским военным судом г. Комсомольска-на-амуре
Кольчугинский город суд г. Абакан,Кольчугинским городским судом г. Абакан
Кирилловский город суд респ. Бурятия,Кирилловским городским судом респ. Бурятия
Княгининский городской суд чувашской республики - чувашии,Княгининским городским судом чувашской республики - чувашии
Ольский районный суд Кемеровской области,Ольским районным судом Кемеровской области
Кудымкарский районный суд г. Орска,Кудымкарским районным судом г. Орска
Неверкинский городской суд г. Твери,Неверкинским городским судом г. Твери
Кытмановский апелляционный суд г. Орла,Кытмановским апелляционным судом г. Орла
Данковский м-ый суд РМЭ,Данковским м-ым судом РМЭ
Куртамышский м-ый суд города Твери Тверской области,Куртамышским м-ым судом города Твери Тверской области
Кайтагский город суд г. Барнаула,Кайтагским городским судом г. Барнаула
Сеченовский р-ый суд Рязанской области,Сеченовским р-ым судом Рязанской области
Феодосийский областной суд республика Коми,Феодосийским областным судом республика Коми
Наро-фоминский районный суд г. Абакан,Наро-фоминским районным судом г. Абакан
Туркменский р-ый суд г. Тюмени,Туркменским р-ым судом г. Тюмени
Дзун-хемчикский районный суд Ульяновской области,Дзун-хемчикским районным судом Ульяновской области
Карабулакский районный суд Воронежской обл.,Карабулакским районным судом Воронежской обл.
Сарапульский военный суд республики Саха (якутия),Сарапульским военным судом республики Саха (якутия)
Торопецкий районный суд республики Бурятия,Торопецким районным судом республики Бурятия
Веневский городской суд г. Ростова-на-дону,Веневским городским судом г. Ростова-на-дону
Калининский военный суд г. Владимира,Калининским военным судом г. Владимира
Березниковский м-ый суд города Тольятти,Березниковским м-ым судом города Тольятти
Одоевский районный суд г. Самары,Одоевским районным судом г. Самары
Оричевский областной суд г. Читы,Оричевским областным судом г. Читы
Прикубанский военный суд Тверской области,Прикубанским военным судом Тверской области
Большемурашкинский военный суд республики Адыгея,Большемурашкинским военным судом республики Адыгея
Карагинский районный суд г. Казани,Карагинским районным судом г. Казани
Пригородный военный суд города Севастополь,Пригородным военным судом города Севастополь
Ветлужский м-ый суд ставропольский край,Ветлужским м-ым судом ставропольский край
Охотский городской суд Нижегородской области,Охотским городским судом Нижегородской области
Няганский апелляционный суд поволжского округа,Няганским апелляционным судом поволжского округа
Плавский м-ый суд республики Крым,Плавским м-ым судом республики Крым
Тосненский м-ый суд города Санкт-петербург И Ленинградской области,Тосненским м-ым судом города Санкт-петербург И Ленинградской области
Усть-камчатский районный суд г. Сочи,Усть-камчатским районным судом г. Сочи
Александровский военный суд Тамбовской области,Александровским военным судом Тамбовской области
Хостинский районный суд камчатского края,Хостинским районным судом камчатского края
Славгородский город. суд Санкт-петербурга,Славгородским городским судом Санкт-петербурга
Тяжинский м-ый суд г. Ярославля,Тяжинским м-ым судом г. Ярославля
Оконешниковский районный суд г. Махачкалы,Оконешниковским районным судом г. Махачкалы
Надтеречный военный суд г. Смоленска,Надтеречным военным судом г. Смоленска
Рудничный межрайонный суд Самарской области,Рудничным межрайонным судом Самарской области
Табунский м-ый суд города Тольятти Самарской обл.,Табунским м-ым судом города Тольятти Самарской обл.
Мухоршибирский город суд Самарской области,Мухоршибирским городским судом Самарской области
Троицко-печорский м-ый суд ямало-ненецкого автономного округа,Троицко-печорским м-ым судом ямало-ненецкого автономного округа
Нижнеудинский кассационный суд Ивановской области,Нижнеудинским кассационным судом Ивановской области
Южноуральский межрайонный суд г. Балахна,Южноуральским межрайонным судом г. Балахна
Агаповский м-ый суд респ. Татарстан,Агаповским м-ым судом респ. Татарстан
Третий м-ый суд cаратовской области,Третьим м-ым судом cаратовской области
Добрянский апелляционный суд г. Тюмени,Добрянским апелляционным судом г. Тюмени
Феодосийский город. суд республики Мордовия,Феодосийским городским судом республики Мордовия
Кингисеппский городской суд г. Астрахани,Кингисеппским городским судом г. Астрахани
Краснофлотский межрайонный суд города Севастополя,Краснофлотским межрайонным судом города Севастополя
Корочанский городской суд Смоленской области,Корочанским городским судом Смоленской области
Макарьевский апелляционный суд Нижегородской области,Макарьевским апелляционным судом Нижегородской области
Наурский апелляционный суд города Тольятти,Наурскием апелляционным судом города Тольятти
Соликамский кассационный суд Иркутской области,Соликамским кассационным судом Иркутской области
Чистопольский межрайонный суд города Саратова,Чистопольским межрайонным судом города Саратова
Приморский р-ый суд г. СПБ,Приморским р-ым судом г. СПБ
